APINumber,gel,slick,xlinkgel,VerticalDepth,nphf_sqrt,sqrtsandmass,First6BOE,SandMassPerFoot,hybrid,hzlen_bin_<1,hzlen_bin_1-2,hzlen_bin_>2
35119242390000,0,1,0,4932.0,78.36453279386026,1261.4277624977183,11309.0,368.0,0,1,0,0
35003220480000,0,1,0,6160.0,77.80745465570763,1618.6991690860905,31874.0,629.0,0,1,0,0
35003225010000,0,0,0,6495.0,76.909037180295,866.0254037844386,57566.0,189.0,0,1,0,0
35003221470000,0,1,0,6278.0,76.49836599562111,1169.2211082596825,30096.0,300.0,0,1,0,0
35063244910000,0,1,0,4947.0,81.43709228600933,1747.9013130036833,42377.0,634.0,0,1,0,0
35053230150000,0,1,0,6119.0,80.1311425102625,538.6984314066638,9812.0,79.0,0,1,0,0
35093250410000,0,1,0,8717.0,79.59271323431561,1997.8087996602678,78896.0,978.0,0,1,0,0
35083241380000,0,1,0,6300.0,78.2559901860554,1694.6374243477571,37551.0,623.0,0,1,0,0
35003230900000,1,1,0,6723.0,78.7273777030583,382.03402989786133,56217.0,35.0,0,1,0,0
35003228680000,0,1,0,6090.0,78.53661566428744,687.5609063930264,23566.0,104.0,0,1,0,0
35151241020000,1,1,0,6516.0,78.6956161421969,3.605551275463989,22712.0,0.0,1,1,0,0
35047249700000,1,1,0,6451.0,79.66178506661774,908.2951062292475,42950.0,202.0,1,1,0,0
35119241440000,0,1,0,4515.0,79.3536388579629,1945.789043036269,36071.0,397.0,0,0,0,1
35003231280000,0,1,0,5532.0,78.37091297158659,624.9319963003975,43133.0,92.0,0,1,0,0
35003226670000,1,1,0,5352.0,78.75912645528771,821.7201470087002,16711.0,206.0,1,1,0,0
35003227960000,0,1,0,6553.0,78.20485918406861,707.1067811865476,101927.0,119.0,0,1,0,0
35081242630000,0,1,0,4896.0,78.43468620451031,1901.7402556605884,8630.0,831.0,0,1,0,0
35053231170000,1,1,0,5857.0,78.21125238736431,1051.1094139051368,5645.0,265.0,0,1,0,0
35151235420000,0,1,0,6233.0,78.87965517166008,1266.7185954267823,78724.0,374.0,0,1,0,0
35103244210000,0,1,0,4738.0,79.13911801378633,1293.8693906264264,22783.0,410.0,0,1,0,0
35151237470000,0,1,0,5244.0,77.86526825228306,901.8220445298507,51902.0,163.0,0,1,0,0
35003223580000,0,1,0,5216.0,77.86526825228306,780.4364163722756,41245.0,137.0,0,1,0,0
35029212630000,0,1,0,8088.0,78.08969202141856,1513.2190852616154,48514.0,474.0,0,1,0,0
35053233940000,1,1,0,6258.0,77.83315488916018,908.2951062292475,25365.0,199.0,1,1,0,0
35133250720000,0,1,0,4519.0,75.1265598839718,1637.6559467727036,7647.0,546.0,0,1,0,0
35103243820000,0,1,0,4812.0,77.86526825228306,867.2392980025755,23981.0,193.0,0,1,0,0
35029211790000,0,1,0,6557.0,78.6956161421969,3024.6988279827133,17477.0,887.0,0,0,0,1
35073252270000,1,0,0,7812.0,77.46612162745726,3001.296386563646,59009.0,1922.0,0,1,0,0
35117234590000,0,0,0,4448.0,77.4919350642375,696.9074544012283,20900.0,126.0,0,1,0,0
35151244000000,0,1,0,6378.0,78.93668348746354,413.52146256270663,41102.0,35.0,0,1,0,0
35003224640000,1,1,0,5933.0,77.33045971672482,867.330386876881,61027.0,180.0,1,1,0,0
35151241100000,1,1,0,5834.0,82.59539938761722,974.1663102366043,64595.0,215.0,1,1,0,0
35053231140000,0,0,0,5167.0,77.40800992145451,866.0254037844386,13914.0,182.0,0,1,0,0
35151239930000,0,1,0,5523.0,80.19975062305369,706.8238818828917,35438.0,111.0,0,1,0,0
35073253340000,0,1,0,8673.0,77.80745465570763,3543.2387726485495,80686.0,2775.0,0,1,0,0
35047246550000,0,1,0,6183.0,79.8373346248483,1186.1513394166868,39915.0,347.0,0,1,0,0
35047246880000,0,1,0,6233.0,80.82697569499925,506.571811296286,27637.0,75.0,0,1,0,0
35073250120000,0,1,0,6830.0,79.21489758877429,480.0,23377.0,50.0,0,1,0,0
35151241650000,0,1,0,5963.0,71.32320800412724,694.6725847476637,19561.0,86.0,0,1,0,0
35003229050000,0,1,0,5654.0,77.57576941287789,684.2806441804415,61292.0,100.0,0,1,0,0
35063243680000,0,1,0,7611.0,78.44743462982075,1872.1217909099823,90574.0,824.0,0,1,0,0
35081242540000,0,1,0,4820.0,78.79086241436883,1901.2732575829282,15754.0,806.0,0,1,0,0
35003226330000,1,1,0,5661.0,77.51773990513398,866.2845952687835,37015.0,192.0,1,1,0,0
35083240670000,0,1,0,5995.0,77.47902942086975,2106.1545527334883,25194.0,503.0,0,0,0,1
35073252390000,0,1,0,7201.0,80.11242100947892,3532.3221823610597,20559.0,2839.0,0,1,0,0
35103246260000,0,1,0,5399.0,80.39278574598593,1380.4658633953975,2796.0,421.0,0,1,0,0
35151243060000,1,1,0,5806.0,80.31189202104505,907.9647570252934,62195.0,206.0,1,1,0,0
35003229760000,0,1,0,5895.0,77.58221445666526,637.5578405133137,25628.0,100.0,0,1,0,0
35047247860000,0,1,0,5935.0,79.1580697086532,1139.7166314483613,1464.0,292.0,0,1,0,0
35151239870000,0,1,0,5477.0,77.64663547121665,682.5488993471457,30992.0,97.0,0,1,0,0
35003229460000,0,1,0,5611.0,77.38862965578342,643.8788705960151,56328.0,98.0,0,1,0,0
35117235230000,0,0,0,4526.0,79.92496481075234,1494.962875793242,527.0,621.0,0,1,0,0
35003225110000,0,0,0,5279.0,76.76587783644501,774.5966692414834,16275.0,164.0,0,1,0,0
35119240420000,0,1,0,4791.0,79.08223567907018,1266.6585964655196,6054.0,385.0,0,1,0,0
35047247570000,0,1,0,6216.0,78.05767098754612,584.1960287437771,26575.0,82.0,0,1,0,0
35053230020000,0,1,0,5506.0,77.110310594628,867.0086504758762,14539.0,182.0,0,1,0,0
35053232620000,0,1,0,5674.0,78.67019766086774,846.6528214091063,7065.0,168.0,0,1,0,0
35119242130000,0,1,0,4602.0,78.78451624526231,1686.8692895420202,3244.0,628.0,0,1,0,0
35151237230000,0,1,0,6148.0,78.16648898345122,630.5656191071632,29916.0,102.0,0,1,0,0
35003224750000,0,1,0,6478.0,77.13624310270757,1007.0898668937147,25958.0,216.0,0,1,0,0
35119241410000,0,1,0,5848.0,79.18333157931662,1844.793755410073,8509.0,730.0,0,1,0,0
35083240510000,0,1,0,6063.0,77.67238891652555,1685.3174775098014,31464.0,633.0,0,1,0,0
35151239290000,0,1,0,5476.0,79.96874389409902,651.4598989960932,48428.0,95.0,0,1,0,0
35029212780000,0,1,0,7350.0,78.07048097712733,1903.9023084181604,42839.0,796.0,0,1,0,0
35029211700000,0,1,0,8014.0,77.8138805098422,1448.6303876420652,37719.0,372.0,0,1,0,0
35119243690000,0,1,0,4514.0,78.31347265956222,1410.0379427518963,22672.0,479.0,0,1,0,0
35151240870000,0,1,0,5558.0,77.74316690230724,679.6175395029178,15306.0,99.0,0,1,0,0
35119240250000,0,1,0,5407.0,79.39773296511683,1152.389691033376,26266.0,371.0,0,1,0,0
35003227760000,0,1,0,6234.0,78.88599368709251,603.8708471188189,17905.0,95.0,0,1,0,0
35121247490000,0,1,0,8600.0,79.89993742175271,2054.177694358499,86506.0,861.0,0,1,0,0
35003228900000,1,1,0,6534.0,81.92679659305617,339.8529093593286,31847.0,32.0,1,1,0,0
35071246680000,0,1,0,4877.0,79.79974937304002,2512.4370638883674,32672.0,1688.0,0,1,0,0
35073251970000,0,0,1,8463.0,78.93668348746354,4209.893110282018,93479.0,1745.0,0,0,0,1
35083240830000,0,1,0,6190.0,79.47955712005447,1445.49680041154,6764.0,513.0,0,1,0,0
35073251270000,0,1,0,6884.0,76.38062581571324,1444.125687050819,45152.0,465.0,0,1,0,0
35119244210000,0,1,0,4915.0,78.58116822750856,2312.3725910847497,14239.0,955.0,0,1,0,0
35151241110000,1,1,0,6120.0,77.9615289742319,809.5875493113762,23020.0,163.0,1,1,0,0
35003230240000,0,1,0,5499.0,77.74959806970065,650.1230652730296,47790.0,94.0,0,1,0,0
35081242180000,0,1,0,4890.0,77.9807668595276,1626.4993083306244,19922.0,699.0,0,1,0,0
35119240460000,0,1,0,4771.0,78.35815209663893,1662.606387573439,19287.0,664.0,0,1,0,0
35003221700000,0,1,0,5857.0,77.87810988975015,1291.4948702956585,9667.0,376.0,0,1,0,0
35083243120000,0,1,0,6149.0,78.60025445251433,644.5385946551222,478.0,102.0,0,1,0,0
35083243580000,0,1,0,6050.0,76.91553809211764,1594.678651014053,15983.0,520.0,0,1,0,0
35083242760000,0,1,0,6194.0,78.40918313565064,1896.9488659423585,22856.0,876.0,0,1,0,0
35003224850000,0,1,0,5971.0,93.40235543068493,762.8446761956197,5214.0,300.0,0,1,0,0
35003227420000,0,1,0,6505.0,80.10617953691214,774.5966692414834,29003.0,139.0,0,1,0,0
35003227200000,0,1,0,6960.0,76.47221717722064,866.0254037844386,6648.0,170.0,0,1,0,0
35151236240000,0,1,0,5861.0,76.96752561957543,1498.718786163702,19392.0,476.0,0,1,0,0
35003227290000,0,1,0,5584.0,78.21125238736431,908.2951062292475,24107.0,203.0,0,1,0,0
35053229810000,0,1,0,5307.0,77.21398836998384,732.2424461884192,41494.0,128.0,0,1,0,0
35119243350000,0,1,0,5600.0,78.3198569968051,1304.2442255958047,10089.0,423.0,0,1,0,0
35121247630000,0,1,0,8620.0,79.06326580656784,3232.2031186173926,283163.0,1037.0,0,0,0,1
35047246560000,0,1,0,6555.0,79.42921376924235,457.6680019402711,9069.0,50.0,0,1,0,0
35047246360000,0,1,0,6198.0,80.7403244977378,558.3851717228888,24493.0,81.0,0,1,0,0
35103245060000,0,1,0,5279.0,79.37253933193772,1395.0161289390169,9099.0,490.0,0,1,0,0
35151235770000,0,1,0,5427.0,78.86063656856949,1271.8199558113563,29558.0,441.0,0,1,0,0
35003222330000,0,1,0,5823.0,78.12169993030106,1346.8964325440913,35034.0,397.0,0,1,0,0
35073254390000,0,1,0,7520.0,80.26830009412184,2466.7302244063903,57720.0,1405.0,0,1,0,0
35047247400000,1,1,0,6518.0,79.21489758877429,930.7255234493142,28764.0,194.0,1,1,0,0
35063245410000,0,1,0,5166.0,80.56053624449132,2222.8450238376945,68412.0,1027.0,0,1,0,0
35003231020000,0,1,0,5544.0,77.60154637634484,659.3026619087776,30224.0,95.0,0,1,0,0
35053232730000,1,1,0,5791.0,77.85884663928692,840.5135335019895,2777.0,152.0,1,1,0,0
35047246260000,1,1,0,6909.0,83.55237878121723,1011.9402156254093,12162.0,564.0,1,1,0,0
35003225920000,1,1,0,6081.0,75.82875444051551,771.2172197247673,58389.0,139.0,1,1,0,0
35151238390000,0,1,0,5929.0,78.74007874011811,1026.2260959457228,50723.0,247.0,0,1,0,0
35029212140000,1,1,0,8883.0,78.689262291624,1694.2372915267802,161786.0,580.0,1,1,0,0
35119243330000,0,1,0,4007.0,78.86697661252141,1333.7728442279818,35365.0,470.0,0,1,0,0
35103245360000,0,1,0,5087.0,79.63667496825819,1030.2766618729165,8160.0,228.0,0,1,0,0
35003225770000,1,1,0,5367.0,76.81145747868608,775.6352235426135,12582.0,144.0,1,1,0,0
35121247740000,0,1,0,9450.0,81.72514912803769,2222.153685054209,209914.0,483.0,0,0,0,1
35053233750000,0,1,0,5967.0,78.84795495128583,998.0696368490527,47182.0,307.0,0,1,0,0
35151238730000,0,1,0,5922.0,78.19846545808939,866.0254037844386,48831.0,165.0,0,1,0,0
35103245950000,0,1,0,5506.0,79.01898506055365,1458.9160359664295,3025.0,456.0,0,1,0,0
35003224970000,0,1,0,5559.0,78.50477692471968,838.9404031276596,45302.0,157.0,0,1,0,0
35047250750000,0,1,0,5922.0,78.42831121476479,1912.1323175972943,24164.0,926.0,0,1,0,0
35151238940000,0,1,0,5261.0,77.58221445666526,678.0331850285795,13088.0,98.0,0,1,0,0
35083243270000,0,1,0,6292.0,81.53526844255803,1880.2627475967288,26746.0,825.0,0,1,0,0
35151242440000,0,1,0,5582.0,77.5306391048081,990.2181577814052,39073.0,216.0,0,1,0,0
35151242270000,1,1,0,5805.0,76.18398781896364,825.327207839412,23552.0,151.0,1,1,0,0
35003223280000,0,1,0,5184.0,78.41555968046137,952.3234744560275,50665.0,202.0,0,1,0,0
35003223600000,0,1,0,5489.0,77.22693830523129,1009.9405923122409,91008.0,223.0,0,1,0,0
35073253470000,0,1,0,7039.0,80.99382692526635,2037.6763727343948,100502.0,1025.0,0,1,0,0
35151241770000,0,1,0,5581.0,77.43384273042376,646.9930447848725,32011.0,94.0,0,1,0,0
35119242020000,0,1,0,5090.0,78.27515570089912,2215.517095397822,69809.0,548.0,0,0,0,1
35003227830000,0,1,0,5757.0,79.67433714816836,866.3371168315484,25651.0,186.0,0,1,0,0
35151243470000,0,1,0,5679.0,77.28518616138541,678.586766743944,32513.0,96.0,0,1,0,0
35003222640000,0,1,0,6820.0,77.37570678190927,957.4768926715673,15286.0,200.0,0,1,0,0
35037291500000,0,1,0,3630.0,80.2807573457052,962.5985663816459,26681.0,311.0,0,1,0,0
35047248610000,0,1,0,5513.0,78.06407624509497,1666.3174967574457,19775.0,583.0,0,1,0,0
35059225980000,0,1,0,6906.0,83.09031231136396,717.0962278523016,38991.0,133.0,0,1,0,0
35047247160000,1,1,0,6824.0,78.2559901860554,2431.3664882119274,58413.0,1507.0,1,1,0,0
35063245010000,0,1,0,5951.0,79.56758133813042,1966.1612344871414,38625.0,802.0,0,1,0,0
35011236130000,0,1,0,9401.0,77.06490770772389,3175.3472251078306,74581.0,2122.0,0,1,0,0
35053232850000,1,1,0,5131.0,77.77531742140305,866.0254037844386,7151.0,175.0,1,1,0,0
