API14,WellName,WellNumber,OperatorAlias,Field,TargetFormation,TotalDepth,VerticalDepth,DrillType,UpperPerforation,LowerPerforation,GrossPerforatedInterval,HorizontalLength,TreatmentJobCount,CumBOE,CumGas,CumOil,First6BOE,FirstProdDate,Township,Range,TR,County
5123403600000,WAAG,11,EXTRACTION O&G,WATTENBERG,NIOBRARA,11949.0,7138.0,H,,,,4724.55,1.0,42742.0,66867.0,31597.0,20494.0,2016-01-01,07N,65W,07N65W,Weld
5123403610000,WAAG,12,EXTRACTION O&G,WATTENBERG,NIOBRARA,11935.0,7138.0,H,,,,4704.67,1.0,44247.0,76736.0,31458.0,19396.0,2016-01-01,07N,65W,07N65W,Weld
5123403620000,WAAG,10,EXTRACTION O&G,WATTENBERG,CODELL,12157.0,7335.0,H,,,,4737.15,1.0,37267.0,46568.0,29506.0,17048.0,2016-01-01,07N,65W,07N65W,Weld
5123403630000,WAAG,16,EXTRACTION O&G,WATTENBERG,CODELL,12171.0,7335.0,H,,,,4750.0,1.0,58579.0,119026.0,38741.0,17146.0,2016-01-01,07N,65W,07N65W,Weld
5123403640000,WAAG,7,EXTRACTION O&G,WATTENBERG,CODELL,12242.0,7335.0,H,,,,4835.76,1.0,33161.0,55413.0,23925.0,17275.0,2016-01-01,07N,65W,07N65W,Weld
5123403650000,WAAG,17,EXTRACTION O&G,WATTENBERG,NIOBRARA,11994.0,7138.0,H,,,,4771.12,1.0,45029.0,93176.0,29500.0,18370.0,2016-01-01,07N,65W,07N65W,Weld
5123403730000,HONEBEIN,7K-243,PDC ENERGY,WATTENBERG,NIOBRARA,14099.0,6937.0,H,7411.0,14029.0,6618.0,7108.05,1.0,194553.0,676210.0,81851.0,73643.0,2016-02-01,04N,64W,04N64W,Weld
5123403760000,LOLOFF FARMS,26H-312ST,PDC ENERGY,WATTENBERG,NIOBRARA,9640.0,6635.0,H,,,,3122.45,1.0,220464.0,722052.0,100122.0,94517.0,2016-09-01,05N,64W,05N64W,Weld
5123403780000,HONEBEIN,7K-403,PDC ENERGY,WATTENBERG,CODELL,14206.0,7110.0,H,7621.0,14130.0,6509.0,7100.5,2.0,130805.0,490970.0,48977.0,47259.0,2016-02-01,04N,64W,04N64W,Weld
5123403790000,LOLOFF FARMS,26H-202ST,PDC ENERGY,WATTENBERG,NIOBRARA,9304.0,6566.0,H,,,,2820.76,1.0,226529.0,793358.0,94303.0,94584.0,2016-09-01,05N,64W,05N64W,Weld
