APINumber,gel,slick,xlinkgel,hybrid,VerticalDepth,HorizontalLength,GrossPerforatedInterval,nphf_sqrt,sandmass,sqrtsandmass,sandperft,location,First6BOE,hzlen_bin_<1,hzlen_bin_1-2,hzlen_bin_>2
5123389140000,0,1,1,1.0,7213.0,4635.51,4226.0,80.05941543628707,3600909.107071804,1897.6061517269077,301.65947114616773,2,63552.0,1,0,0
5123389150000,0,1,1,1.0,7204.0,4557.51,4194.0,79.77161149180829,3379773.189206948,1838.4159456464001,285.71926529773845,2,58147.0,1,0,0
5123389230000,0,1,1,1.0,7106.0,4764.71,4202.0,81.01055486786892,4659961.407883091,2158.694375747315,391.428929683586,8,42892.0,1,0,0
5123389240000,0,1,1,1.0,7036.0,4624.23,5216.503645533966,73.53724467551143,3899392.0767105087,1974.6878428527657,333.8234805847538,8,59808.0,1,0,0
5123389270000,0,1,1,1.0,6176.0,4667.25,4111.0,80.97067370350824,3441467.9625811432,1855.1193930799018,317.56648173674847,11,33645.0,1,0,0
5123389290000,0,1,1,1.0,7107.0,4544.33,5138.66030693435,73.52325953782007,5351849.179292869,2313.406401671109,442.4478488172015,1,38313.0,1,0,0
5123389320000,0,1,1,1.0,7107.0,4708.0,5298.117368618947,73.55190433551707,3621415.0525007467,1903.001590251765,296.5941893940005,1,46782.0,1,0,0
5123389380000,0,1,1,1.0,7107.0,4388.14,4986.490706735675,73.49591344601633,3603690.9603211186,1898.3390003687746,301.5640970980016,1,39633.0,1,0,0
5123389410000,0,1,1,1.0,7326.0,3851.27,3538.0,79.45608850176303,3119004.9543457017,1766.0704839687746,273.9092785058138,4,44452.0,1,0,0
5123389430000,0,1,1,1.0,6933.0,4730.26,4356.0,79.83896291911613,2086568.59244278,1444.4959648412937,174.886312332812,1,54080.0,1,0,0
5123389450000,0,1,1,1.0,7734.0,4425.61,4702.0,75.65454381595332,2153876.315781016,1467.609047321873,166.59264566331626,2,52589.0,1,0,0
5123389460000,0,1,1,1.0,7132.0,4481.83,4254.0,78.91660154872358,2068898.8816598728,1438.366741015612,173.9447521153416,2,30595.0,1,0,0
5123389470000,0,1,1,1.0,7521.0,4448.08,4743.0,75.53197998199174,2254122.8379702643,1501.3736503516586,177.18305596370573,5,43189.0,1,0,0
5123389480000,0,1,1,1.0,6933.0,4497.36,4332.0,78.51980641850818,2180618.8739418527,1476.6918683130386,185.69521195110727,1,59686.0,1,0,0
5123389490000,0,1,1,1.0,7658.0,4446.85,4159.0,79.29596458836981,1328.4911794555196,36.44847293722358,0.10872339630538666,2,48286.0,1,0,0
5123389500000,0,1,1,1.0,7448.0,4425.19,4035.0,79.9386639868343,1097465.854730941,1047.6000452133155,91.83046228189615,1,35306.0,1,0,0
5123389520000,0,1,1,1.0,7127.0,4567.86,4402.0,78.52299026399848,2124499.570878941,1457.566317832208,177.1301960045807,2,18757.0,1,0,0
5123389530000,0,1,0,0.0,7464.0,9516.86,9214.0,79.39055359424067,4702123.340601406,2168.437995563029,271.579261903743,2,79973.0,0,0,1
5123389540000,0,1,0,0.0,7499.41,3936.9,3765.0,78.56144092364904,3152096.5799655495,1775.414481174903,264.99340731110124,1,43764.0,1,0,0
5123389550000,0,1,1,1.0,7646.0,3912.28,3799.0,78.18746702637195,3709263.2810758483,1925.9447762269426,306.095335952785,2,65649.0,1,0,0
5123389560000,0,1,0,0.0,7496.13,6646.39,6929.0,75.61342473397168,16962046.53458529,4118.50052016329,1159.4016770051462,1,92179.0,0,1,0
5123389570000,0,1,0,0.0,7653.0,6717.42,6469.0,79.04694807517872,12824641.678099455,3581.1508873683965,866.8226886177395,2,108203.0,0,1,0
5123389580000,0,1,0,0.0,7650.24,3911.31,3919.0,77.41001227231526,4018364.239992825,2004.5858026018304,330.37607826957367,2,65885.0,1,0,0
5123389590000,0,1,1,1.0,7479.0,3881.74,3957.0,76.97233269168864,3234614.3860442736,1798.5033739318571,269.1698748476553,1,50915.0,1,0,0
5123389620000,0,1,1,1.0,6051.0,6575.01,6146.0,80.18110750045798,5103007.805100854,2258.983799211684,402.3502172278525,1,37016.0,0,1,0
5123389630000,0,1,1,1.0,6140.0,8200.6,7783.0,80.109924478806,5737893.3382606935,2395.39001798469,399.1577974442222,1,41181.0,0,1,0
5123389640000,0,1,1,1.0,6139.0,7992.77,7701.0,79.32067826235478,5784549.859497374,2405.1091159233033,405.2224069700437,1,33757.0,0,1,0
5123389650000,0,1,1,1.0,6850.0,4605.31,5198.070654716636,73.53393329125925,3230641.4536227863,1797.3985238735415,285.4932355622823,1,49770.0,1,0,0
5123389670000,0,1,1,1.0,6991.0,4597.59,5190.5493709370485,73.5325820916344,2921988.6143552074,1709.382524292093,255.9331360563377,2,43592.0,1,0,0
5123389680000,0,1,1,1.0,6845.0,4603.2,5196.014967051489,73.53356398916424,2695786.7366539584,1641.8851167648602,238.37534146732324,1,49681.0,1,0,0
5123389690000,0,1,1,1.0,7101.0,5039.03,5620.626509753254,73.60980566641068,3615977.853005135,1901.5724685126083,307.8213886954231,1,79514.0,1,0,0
5123389700000,0,1,1,1.0,7101.0,5057.99,5639.098470952863,73.61312063108815,3615341.5836815136,1901.4051603173673,306.51475910822495,1,93548.0,1,0,0
5123389720000,0,1,1,1.0,7287.0,5037.77,3922.0,84.35502356113713,3387825.360917473,1840.6046183027665,284.3805389840908,2,95898.0,1,0,0
5123389740000,0,1,1,1.0,6088.0,4880.17,5465.855636537545,73.58202473065317,5127760.033704297,2264.455791951854,467.69062693399275,1,55810.0,1,0,0
5123389780000,0,1,0,0.0,7485.0,11078.69,9869.0,84.90989341649181,5188437.224912062,2277.814133091649,291.20711819678183,2,105577.0,0,0,1
5123389800000,0,1,0,0.0,7485.0,11102.9,9914.0,84.78738113658187,5229045.393896828,2286.7106056291486,292.6158586400016,2,94935.0,0,0,1
5123389810000,0,1,0,0.0,7412.0,9490.34,8730.0,82.22128678146554,4566882.085117933,2137.0264586845747,273.1715567124018,2,99655.0,0,0,1
5123389820000,0,1,0,0.0,7203.0,9467.8,9935.398007748561,74.38011825919234,6778485.018372213,2603.5523844110016,480.33482273045723,1,205936.0,0,0,1
5123389830000,0,1,0,0.0,7318.0,11086.35,9802.0,85.34840361717377,7843348.494901293,2800.5978816854968,442.90182929026446,1,97168.0,0,0,1
5123389950000,0,1,0,0.0,7698.2,9832.84,9151.0,81.74252259381282,4806554.815394692,2192.385644770256,278.17320535879924,2,106186.0,0,0,1
5123389970000,0,1,0,0.0,7712.0,9889.88,9170.0,81.97487419935452,4680481.939738132,2163.442150772267,269.25628140931553,2,73851.0,0,0,1
5123389980000,0,1,0,0.0,7716.0,9913.91,9159.0,82.1882595021941,4673868.835493464,2161.9132349595957,268.6749158136045,2,84493.0,0,0,1
5123389990000,0,1,1,1.0,7253.0,6013.06,5855.0,78.47330756378248,4801802.99705228,2191.3016672864283,344.5857909617711,9,59632.0,1,0,0
5123390000000,0,1,0,0.0,7176.05,5914.23,5953.0,77.20900206582131,4606268.226510168,2146.221849322704,335.19634889464186,9,46079.0,1,0,0
5123390010000,0,1,0,0.0,7194.71,5893.64,5976.0,76.92619839820502,4620891.268963965,2149.625843946794,335.60107988698996,9,54620.0,1,0,0
5123390020000,0,1,1,1.0,7254.0,5906.63,6028.0,76.67222443623245,4756202.574407516,2180.8719757031854,345.10249415233756,9,68443.0,1,0,0
5123390040000,0,1,1,1.0,6257.0,4360.27,4057.0,79.39313572343644,3479972.9377730438,1865.4685571654763,321.26781183281423,11,35411.0,1,0,0
5123390060000,0,1,1,1.0,6298.0,4359.62,4035.0,79.52747952751929,3445988.7827657275,1856.3374646776183,320.49746863520534,1,45894.0,1,0,0
5123390080000,0,1,1,1.0,6369.0,4287.79,4136.0,78.43334749964457,3472814.710613185,1863.548955786562,318.1690069274563,1,34694.0,1,0,0
5123390120000,1,1,0,1.0,6595.0,5751.03,4598.0,84.57558749426455,5849638.029644312,2418.6024951703644,492.2694630686117,14,39609.0,1,0,0
5123390180000,0,1,1,1.0,6685.0,5797.92,4626.0,84.68718911382052,2769423.498949348,1664.158495741721,230.09500655943404,14,39532.0,1,0,0
