APINumber,gel,slick,xlinkgel,hybrid,VerticalDepth,nphf_sqrt,sqrtsandmass,First6BOE,sandperft,hzlen_bin_<1,hzlen_bin_1-2,hzlen_bin_>2
33061027090000,0,1,1,1.0,9766.79,119.27398375946207,1770.7674922886329,75467.67,313.49246933889344,0,0,1
33061027110000,0,1,1,1.0,10798.63,119.66024068943042,2043.4165850701622,57454.83,413.6461776353266,0,0,1
33061027120000,0,1,1,1.0,10106.99,95.0574731509965,1951.5706172659907,57719.83,791.5100998942112,1,0,0
33061027130000,0,1,1,1.0,10093.59,97.66183083401837,1085.8075768121,65799.17,221.87266528081136,1,0,0
33061027150000,0,1,1,1.0,10667.31,121.91203058702787,2077.839109620632,83357.17,405.83047801695744,0,0,1
33061027160000,0,1,0,0.0,9393.2,127.1702921355944,3898.9441578609235,205853.33,1272.3048511967756,0,0,1
33061027180000,0,1,1,1.0,10748.45,121.96545905235803,1558.9338711539463,78292.0,228.16268268610327,0,0,1
33061027190000,0,1,1,1.0,10658.45,121.8393335579788,1572.0289054471957,116739.67,232.68365036005065,0,0,1
33061027200000,0,1,1,1.0,10766.15,121.7893804970385,1542.5085990706282,39917.17,224.28381349877475,0,0,1
33061027210000,0,1,1,1.0,10786.57,122.09690086915565,1498.2534749408774,73561.5,210.1134147142076,0,0,1
33061027220000,0,1,1,1.0,10398.08,108.18970931586988,1411.2937684546782,82923.83,266.24329307266294,0,1,0
33061027300000,0,1,1,1.0,10244.98,97.60959584924231,1443.3361780014532,43970.83,392.7964089645149,1,0,0
33061027470000,0,1,1,1.0,9951.21,118.92524207186807,2818.841184390772,40971.5,801.0639655068454,0,0,1
33061027480000,0,1,1,1.0,9956.13,118.84301915490208,2771.065909429922,87698.83,775.6691210852856,0,0,1
33061027490000,0,1,1,1.0,9883.29,118.86889080769797,2822.0605807697107,72425.33,803.9809162701906,0,0,1
33061027500000,0,1,1,1.0,9885.22,99.04641942974223,2488.485819489359,93643.17,1108.5622352902599,1,0,0
33061027510000,0,1,1,1.0,9859.87,97.78897280293121,2384.172272399135,63638.83,1064.7485814616268,1,0,0
33061027530000,0,1,1,1.0,10233.38,119.67812332190216,2938.9598056767404,32033.0,855.2998222937288,0,0,1
33061027590000,0,1,1,1.0,10428.01,119.4506308139577,1663.8980772864725,93471.67,275.6324244600085,0,0,1
33061027600000,0,1,1,1.0,9552.49,113.88139971853359,3375.307666720952,81667.17,1302.7824040326634,0,0,1
33061027610000,0,1,1,1.0,9522.07,110.90700249241443,3162.221134460255,78554.67,1238.1480238113172,0,1,0
33061027620000,0,1,1,1.0,9584.17,106.12866343195141,2923.634118225836,86090.5,1214.2874433892052,0,1,0
33061027630000,0,1,1,1.0,10250.45,122.09452568339181,2202.850106447868,14744.0,454.23088940160835,0,0,1
33061027650000,0,1,1,1.0,10645.09,118.37843216503765,1535.901493601845,117658.0,240.97474998910843,0,0,1
33061027670000,0,1,1,1.0,9656.74,121.64227555357726,1406.5394188185596,34513.83,187.1177692024372,0,0,1
33061027690000,0,1,1,1.0,10110.06,117.98035091426209,1417.7230149987165,55614.0,207.31082280747154,0,0,1
33061027700000,0,1,1,1.0,9997.42,117.71224745901516,1414.096761512511,46036.33,207.60474360940725,0,0,1
33061027710000,0,1,1,1.0,9627.47,100.21962483392373,1021.8415673184869,17052.83,179.4120498118356,1,0,0
33061027720000,0,1,1,1.0,10270.36,119.516664954526,1974.5494343178727,52946.5,387.5530278410116,0,0,1
33061027730000,0,1,1,1.0,10451.25,119.3907165647833,562.28467100018,30232.5,31.521619613998762,0,0,1
33061027740000,0,1,1,1.0,10308.48,97.9150305206122,1291.6788603111713,88432.17,311.0846866422724,1,0,0
33061027750000,0,1,1,1.0,10853.58,121.49836707483941,1548.2368321394024,68956.33,227.47080394476367,0,0,1
33061027760000,0,1,1,1.0,10729.92,121.64971517374146,1575.3183755766202,134573.67,234.67863351824482,0,0,1
33061027770000,0,1,1,1.0,10644.47,119.26543171368819,1755.536527067525,143318.0,308.18561063144995,0,0,1
33061027780000,0,1,1,1.0,10594.98,126.52159184049346,1734.7930593814983,55670.5,255.39705548355337,0,0,1
33061027790000,0,1,1,1.0,10460.14,127.70584638869288,1707.3322504828361,79753.83,241.21252504518404,0,0,1
33061027800000,0,1,1,1.0,10259.3,94.81599655043668,3171.2898279399587,56933.67,2110.1718784715595,1,0,0
33061027810000,0,1,1,1.0,10478.86,125.47287835166779,1706.8621354827571,56643.67,252.91125726014164,0,0,1
33061027830000,0,1,1,1.0,10651.52,119.30240233060029,1402.4135509744376,117069.17,196.49972354420694,0,0,1
33061027850000,0,1,1,1.0,10744.76,119.41923296459586,1476.3113150370095,56210.83,217.14866561185391,0,0,1
33061027860000,0,1,1,1.0,10623.92,119.58554762952093,1576.24311075038,78516.5,246.56480829285536,0,0,1
33061027870000,0,1,1,1.0,10741.06,119.79041364755538,1734.1749143505556,40939.33,297.00381639563176,0,0,1
33061027880000,0,1,1,1.0,10635.07,120.04058980966572,1696.1936930148943,62932.0,282.46281729365916,0,0,1
33061027890000,0,1,1,1.0,10739.54,120.32885440264285,1707.3012685566173,47552.5,284.2407597508947,0,0,1
33061027900000,0,1,1,1.0,10325.08,119.91369063560849,1978.6661980634938,108339.83,385.5278293684471,0,0,1
33061027910000,0,1,1,1.0,10336.58,119.34723793139254,2369.032997809383,94982.67,560.1288407834684,0,0,1
33061027920000,0,1,1,1.0,9535.37,119.37178561893268,1595.9242652481378,33229.67,254.04833255111274,0,0,1
33061027930000,0,1,1,1.0,9535.39,97.30423013339359,1530.9893213471214,64701.5,446.9699510451712,1,0,0
33061027940000,0,1,1,1.0,9533.74,97.66341793042275,1409.010149121646,91536.83,373.5949282429104,1,0,0
33061027960000,0,1,0,0.0,9560.63,119.5731290961829,3562.5421559458127,1769.33,1259.8903092710138,0,0,1
33061027970000,0,1,1,1.0,9494.22,119.35213949423958,2675.080972977009,36949.0,714.1161748576092,0,0,1
33061027980000,0,1,1,1.0,10385.7,119.58048838273082,1193.372838571374,115478.0,141.3478278662228,0,0,1
33061028010000,0,1,0,0.0,10327.87,119.45670011285436,2048.6184215638696,7129.17,417.76910789559844,0,0,1
33061028020000,0,1,1,1.0,10337.28,120.77786718539295,2162.581162647725,3561.0,451.28418435957025,0,0,1
33061028050000,0,1,1,1.0,10564.66,118.63200749313998,1642.9822016992825,69324.17,274.06426685476004,0,0,1
33061028060000,0,1,1,1.0,10541.9,118.51760713857001,1494.1781902435803,78676.17,227.29473743040927,0,0,1
33061028070000,0,1,1,1.0,10675.18,118.66917544945031,1684.9932316050317,69061.67,288.00119600283705,0,0,1
33061028080000,0,1,1,1.0,10562.95,119.00144201585299,1724.381760680907,67697.17,299.22629218779247,0,0,1
33061028090000,0,1,1,1.0,10037.71,94.82675361865142,1354.848218104744,56535.83,384.98286383956514,1,0,0
33061028100000,0,1,1,1.0,10055.65,97.57629426173358,1451.2046095143387,53378.5,397.5780562568036,1,0,0
33061028120000,0,1,1,1.0,10350.51,121.74244617984485,1817.6345650124972,52115.33,311.76263541878427,0,0,1
33061028130000,0,1,1,1.0,10350.19,121.64901644424594,1104.3997408759565,49409.0,115.34438211180387,0,0,1
33061028140000,0,1,1,1.0,10219.18,121.73554617223525,1148.439871314609,46119.83,124.47905926071387,0,0,1
33061028150000,0,1,1,1.0,9527.54,119.09409389995972,1616.565828500121,9972.33,262.39567098130925,0,0,1
33061028160000,0,1,1,1.0,9497.25,119.15117792893372,1548.0446509859205,23342.33,240.29470190266252,0,0,1
33061028170000,0,1,1,1.0,9550.4,119.31468141788932,1549.2786313989754,3088.67,239.74065690791403,0,0,1
33061028210000,0,1,1,1.0,10432.12,100.93390511543889,1426.2901641771748,54203.0,341.1212111564786,1,0,0
33061028220000,0,1,0,0.0,9357.3,115.39888735101574,3194.594331882595,104983.17,1122.360469215459,0,0,1
33061028230000,0,1,0,0.0,9355.48,118.57471569374485,3292.4374571195394,90130.83,1102.1010207560048,0,0,1
33061028240000,0,1,0,0.0,9346.38,122.23965478457643,3466.222999183298,119362.0,1120.9354590181106,0,0,1
33061028260000,0,1,0,0.0,9348.02,129.13796189290127,3402.2965436576565,113903.0,929.5791678633303,0,0,1
33061028270000,0,1,0,0.0,9314.1,127.00450071494483,3643.219333520368,184558.83,1114.8134617163005,0,0,1
33061028280000,0,1,1,1.0,10284.77,121.26237339691328,1485.4090624331714,47789.17,210.5283324308876,0,0,1
33061028290000,0,1,1,1.0,10324.66,120.12811162193644,1478.2422300899857,60486.67,214.09488196677023,0,0,1
33061028300000,0,1,1,1.0,10643.44,117.93915042025876,1723.6448823796939,77388.83,306.7399936765424,0,0,1
33061028310000,0,1,1,1.0,10771.77,118.24239172924582,1714.7715916616444,60567.33,301.3615202296777,0,0,1
33061028320000,0,1,1,1.0,10643.57,116.79898630490088,1703.2818246547172,86117.5,308.0474132000453,0,0,1
33061028340000,0,1,1,1.0,10613.57,119.4412123257815,1529.8358980568337,74737.17,233.05791450452836,0,0,1
33061028350000,0,1,1,1.0,9489.99,119.7301683029487,2225.013426371825,80694.83,489.6219205097386,0,0,1
33061028360000,0,1,1,1.0,9456.8,117.79368914272284,1707.4519288614904,57302.5,302.07310215565434,0,0,1
33061028370000,0,1,0,0.0,9646.38,92.3396621276709,2317.301159550392,118408.67,1248.0731530801786,1,0,0
33061028390000,0,1,0,0.0,9435.82,93.84009378646432,2342.2590074086515,114863.0,1197.3611888951855,1,0,0
33061028400000,0,1,0,0.0,9466.19,95.9250394936193,2339.0431295061153,65541.67,1099.1619879879945,1,0,0
33061028410000,0,1,1,1.0,10312.71,117.66432425273355,1476.101321179729,50864.17,226.47498969823172,0,0,1
33061028420000,0,1,1,1.0,10456.12,117.7882982382054,1713.9780076995755,66804.5,304.42669084050755,0,0,1
33061028440000,0,1,0,0.0,9253.27,123.3438818987485,3483.000208908084,116488.83,1103.8842450939026,0,0,1
33061028450000,0,1,0,0.0,9250.61,124.82897581031585,3516.716358777671,59484.33,1088.8427698133928,0,0,1
33061028460000,0,1,0,0.0,9232.21,127.17371269980453,3584.4590420432287,112849.0,1075.258231101094,0,0,1
33061028470000,0,1,0,0.0,9365.61,116.10121963981439,3099.280400578809,162989.67,1037.8285373772278,0,0,1
33061028480000,0,1,0,0.0,9333.74,102.80721376368695,2199.9652764002576,80956.17,762.75122609304,1,0,0
33061028490000,0,1,1,1.0,10829.51,119.32008716830717,2141.2069860540773,98943.83,457.8718869500176,0,0,1
33061028510000,0,1,1,1.0,10857.71,119.10530299635035,1592.1183566607967,103512.83,254.45099996148122,0,0,1
33061028520000,0,1,1,1.0,10793.34,118.85951035509284,2240.044807755831,101572.67,506.6689225086718,0,0,1
33061028530000,0,1,1,1.0,10712.58,119.03408420218312,1617.3562414756282,158891.0,263.0297325943556,0,0,1
33061028540000,0,1,0,0.0,9219.9,116.83725091704453,3154.078761552259,118517.5,1055.303916790518,0,0,1
33061028550000,0,1,0,0.0,9295.54,125.30496080304411,3507.3650498682073,124499.17,1071.824598644364,0,0,1
33061028560000,0,1,0,0.0,9260.54,121.27874175572741,3365.730366744078,124571.17,1080.4696571519396,0,0,1
33061028570000,0,1,0,0.0,9167.72,95.16303484994802,2600.9058437658664,106287.5,1400.0019056847743,1,0,0
33061028580000,0,1,0,0.0,9181.04,99.46076212181576,2593.420981031817,81797.33,1186.5549328741827,1,0,0
33061028590000,0,1,0,0.0,9670.04,105.28842862277136,2813.5503290115494,138584.33,1153.6796851280606,0,1,0
33061028600000,0,1,0,0.0,9690.55,98.70715881764818,2626.0846189229346,122613.0,1249.5529877068282,1,0,0
